name,city,state,latitude,longitude,rating,types,working_hours,photo_1,photo_2,photo_3,photo_4,photo_5,photo_6,photo_7,photo_8
Michael Stellman,Las Vegas,NV,46.423669,-129.9427086,5,Magician; Service establishment,Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours; Monday: Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipOevof11dwYm047fLDKuZjoBysjYrxrqdi9ydQI=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipMOkkjDRU_VQFpCdQumbtzwoQe2b8TN9Pg3nhqM=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOgMwLBS9cx4b9EVug2pWM9mqfirZt1shq4naDU=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipOWlmAvmXzja7rV37HQmJ7pTHBf_vNHpY-6uqfh=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPIrRTcKwWgydaHgag0SO53O-xMi37v1oN_KqSG=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNLh62hmXcwdrZdwqa0FyMt8uh2iyLuVxEnQWJe=w205-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipMWD04cIh5j8-opzveKqFkJC1zyEVn_2RT5zAFI=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipPAAG-D7Roe4-qSvDC8WvK3j5PDWNHa4FsZFWA5=w203-h270-k-no
Katrina,Henderson,NV,36.0124394,-120.5988934,5,Magician; Service establishment,Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours; Monday: Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipOSHNi4urGA4pCmEYTRTlJQp1RUhUIO915gsfVN=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipMaRH_B59wkcU6_V45JUrZpzzTaZOyvzxNVG_MH=w216-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipMmj4EOwKSGP1iTwamSZbJnp4GwaaMjx1uGyKv7=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMCTpkG0_t3wKTGCngBoc-zBA_iJ7qhyvLsV-MD=w203-h304-k-no,https://lh5.googleusercontent.com/p/AF1QipOtiPI0QtO-T5P5blzt5kha2irdwLDWFz9yVL_d=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipMn8WeGJC2o4Le8QNKvAczU1KTIF8_1t6-LtPAO=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipNXD5lZvjLywa6e2oPA8dWBaMwqkuuAXojSbowf=w203-h304-k-no,https://lh5.googleusercontent.com/p/AF1QipNLyq5faGXztAtoedBYkjatTyEivnU7aSgiSXjS=w203-h135-k-no
Black Rabbit Rose,Las Vegas,NV,34.101771,-118.3321681,4.6,Magician; Bar; Performing arts theater; Restaurant,,https://lh5.googleusercontent.com/p/AF1QipMTuoAu9JZWLb-ICpSCY7JV4eOsWNroZ-lvESAa=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipP7RFyR-iLxptKqrz3E5Iecfj354BU9WDpXBX-E=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNcF6d9u8cZQW089FuYlSaS7aLPzO0STewT5ytt=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNfjyMP4CCRQdKTjxIQRwahGtQbM08d8C99Lu48=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOl7EwSg12BG3gubMwqoVJwzZCb5LvkOPfpwAJv=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNBbcuAT20O3NzNMn4ABsfvZLTc-Jx3o05JReIi=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNu2fN317EKEQGnsNVVDvNj1QQMIyYyVZwtv76-=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPzC9d9p5BnAHlNNh0m8g8yupVNR9WSIEU4lIRn=w203-h270-k-no
Zany Zoe,Las Vegas,NV,34.0417284,-118.2828908,5,Magician,Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours; Monday: Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipMXIxAeiOrH2vRtjS7bBnqmIgGFzopHwXk79VWA=w203-h252-k-no,https://lh5.googleusercontent.com/p/AF1QipPzTvtIlw38Un9OvmK_v9r6WO-C2R2Q19H167jK=w203-h253-k-no,https://lh5.googleusercontent.com/p/AF1QipPfVwsZu1JYjN04fmkM21fngGgReWIc3ZidQJqa=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOCA-gTj12DqetJeeF8Pl96xRWxrsUIramhgBZT=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPBFCPVyRBSIbyGhOXznezm3mz3uQUlrL7AMo1x=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipMvSJrMDCGoYKSp-hfbzdDnG1mtUlSbVh6AtqEr=w203-h304-k-no,https://lh5.googleusercontent.com/p/AF1QipNH3wrnprak62AMJuinjWp2GFDtshJ_adGiPPJg=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipOSyBg7zznbOzX1rvC6ZQr3M18im_4Sv7ht6op2=w203-h114-k-no
Paul Roffman,Las Vegas,NV,34.096421,-118.352085,5,Magician; Entertainer; Event planner,Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours; Monday: Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipOjO9ARKHedI3aToc7uzHu2g35YPuAF7TRdD68V=w203-h304-k-no,https://lh5.googleusercontent.com/p/AF1QipPZJaS1KT2nypbfn4IZ0MCScmccLrpze3ptBuCw=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPYDiQcAUVpOozQWIRcA5CneW8y-mbo6C_vXf2A=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOw2IEVjVVSGzGNL1VlqgHloZaAGre4iMxfbn1m=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPRVc601ZRu7PxKgmJLywoxz-aq6O6tB28Mxo07=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipO142UGypMMz1mPABKgNrqU4-8jvVUvJlbYbVuT=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipPLz5ntd9UIdshruvrcSlj614hBPVsGsYrN9Uio=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPvktRx0K9Apzwjv8DzPpwne7zzRQ0IkVla7iLs=w203-h270-k-no
Johnny Wu,Las Vegas,NV,51.2072,-121.9883,5,Magician; Service establishment,Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours; Monday: Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipOk6XGnpErsGBD0X_mjfcWC5mdG3cE0acOMqtyo=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipP8aF9q5JFYxBmjknKv5ypiOUuPVsEcao4C2VUa=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipP_P6OQkdd6HWeSwd8THeYCDvMUZByj8lF-MzVV=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipNWMveo-oF0S3fjYjCC50Sd3w6S2nGKWmNmwilB=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipNEkcEKHiubi577DRQDQ4aig3i6IBqukIObtoHK=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipOCXSLButdLOIvFZinUj8wkwPU8ua_UBlGHbx-Y=w203-h134-k-no,https://lh5.googleusercontent.com/p/AF1QipOkSpUFXBOhPsV9wdQxQOL5jc7dHSCYEDJAwblp=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOIlaynn4WTpuf6UOK9IC9sr6TEYUcvwaA6xa_x=w203-h128-k-no
Magic Tetro,Las Vegas,NV,33.786671,-118.2586442,5,Magician; Service establishment; Event planner,Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours; Monday: Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipN0CyxBy7po5tGH4u9pAVURG5MuQPQDV0tSjnzi=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipPQYcLhsYWMuwPFkukAtPeQuCHAnM52dnZdvqXc=w203-h272-k-no,https://lh5.googleusercontent.com/p/AF1QipORdxzvgdNSbCKG4sX0uTzBs_qWU4GfbPASElRk=w203-h156-k-no,https://lh5.googleusercontent.com/p/AF1QipOlhCxUKMp5_6GwDRxQ3wDtwXolcZQBVPnjgOwI=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMxkoBTambeMR5j5mwsLv9gCGhyJK3h4h_RoG88=w203-h253-k-no,https://lh5.googleusercontent.com/p/AF1QipM46oLR02dd-X_AjIUKwSEbf2ANeK8hhhoJRF4z=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipOYOKStEoiLoGOxLWRbpWOGFDYQy87yW0HgLHvZ=w203-h145-k-no,https://lh5.googleusercontent.com/p/AF1QipNe39mYP4PAQLnfNY_37TrPWyBD7xphkoDWU1Vt=w203-h135-k-no
Simone Turkington,Las Vegas,NV,34.1060274,-118.2871593,5,Magician,Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours; Monday: Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipOnbZJDE-bmEbXZBQapl4NsOSt0xfHTFCz8jaRy=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipNQiIs6z0arHXvoPmK6tXFE1x8TlkKB8g2CdD_t=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNnw5iSsEZ5sK_It5gsahAbRtoznok4zbnwddQk=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMIaXTAi-epIvZolih56TIYZ1x6Zt6JxlsbFL-W=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipP9y_HZR3YPRU1xJBp_0Jnn0kgyv5GArKjRFU63=w203-h258-k-no,https://lh5.googleusercontent.com/p/AF1QipMcyGcsYkI1TEb-s1rd2Dpw0y6vxHL-7OZM7Cuz=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipMCSocc4527Ek_SHRkbqyZSGEbi_NnLqc4pwh5B=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipOpIY0FGOJ65MkPk4LToNgm_zlqqcYIsHvOsH3Q=w203-h135-k-no
The magic Castle,Las Vegas,NV,34.104557,-118.3417885,4.7,Club; Association / Organization,"Tuesday: 5 PM–2 AM; Wednesday: 5 PM–2 AM; Thursday: 5 PM–2 AM; Friday: 5 PM–2 AM; Saturday: 10 AM–3:30 PM, 5 PM–2 AM; Sunday: 10 AM–3:30 PM, 5 PM–2 AM; Monday: 5 PM–2 AM",https://lh5.googleusercontent.com/p/AF1QipN4YoRT59VQq9ITwE-K1PQoj7QBPCDBK9FAdtRk=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipO9cb-NQOirWPv8AmiZX4I_7lqCcG3_Yi9Ofkk4=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMyPyr9B-PFkBa93RF3ZQHVV10dydj0YkYCrxmA=w203-h113-k-no,https://lh5.googleusercontent.com/p/AF1QipNq5XtxXrhB3x4p_daVaVqjwcXzEBFwxK2mJZDf=w203-h126-k-no,https://lh5.googleusercontent.com/p/AF1QipOLhQYpkgEXzYeQmHblVqB7uNqAIPnEcnoDiyMw=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipN5aIEdNjVerNW2Wcb1Nh1NkIt8iLu4wOhXXFYO=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNSwe-5TAsrGBSCOWM_n-xQZZfhebzcE7XJ_Png=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNfsLiyEar6KoI_3g_cRlogx5E4rqKydGzyQtc7=w203-h152-k-no
Arty Loon,Las Vegas,NV,34.1054228,-118.1308386,5,Magician,Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours; Monday: Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipNSn8c1p5E4bZBXK-C1w2DxlRdWYP1T0MeDKLeD=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOMUTi2DDywk7MdbxpVrnF7R-CHq5LmnFMxnK3x=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNlp_DR1mAugmUWDrKPS2ufbaxIXz1YJhtcigJ6=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNKHgMLlPnMB8QlGhlMyEp_py7ZPYr_3GoWgBJE=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipO_I8Pyhf1KzML0tkon3j9fVMMXqztAu7-YaIAr=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipPahXVk9gEqlDHghHfabULJT5NPfnGIT9gXfLdL=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNppTkGjD_OJhepz8S9fuR5ha8HSc24YWLn8ZRI=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNipyYWXK5gGW00O1xz2KQF8tik09MVpbaFGVfr=w203-h203-k-no
